listing_id,title,subtitle,price,year,km,hand,gearbox,engine,engine_type,engine_cc,location,current_ownership,original_ownership,test_valid_until,score,decision,positive_reasons,flags,image_count,url,color,body_type,phone_available,first_seen_at,last_seen_at,last_notified_at,tags
u0f32gai,מאזדה 3,Comfort אוט׳ סדאן 4 דל 2.0 (165 כ״ס) [2016-2019],"47,900 ₪",2017,"94,000",2,אוטומט,"בנזין, 1998",בנזין,1998,אזור צפון השרון,סוכנות (חי רכבים),,01/11/2026,65,notify,first_or_second_hand: יד 2,,180,https://www.yad2.co.il/vehicles/item/u0f32gai,לבן מטאלי,סדאן,no,16/08/2026 23:28,19/08/2026 17:08,16/08/2026 23:40,גלגלי מגנזיום | חסכוני | מערכת מולטימדיה
ksrt6jn8,מאזדה 2,Dynamic אוט׳ 1.5 (116 כ״ס) [2018-2020],"50,000 ₪",2019,"120,000",2,אוטומט,"בנזין, 1496",בנזין,1496,אזור חולון ובת ים,סוכנות (מיקה מוטורס),,01/06/2027,65,notify,first_or_second_hand: יד 2,,405,https://www.yad2.co.il/vehicles/item/ksrt6jn8,לבן שנהב,האצ'בק,no,16/08/2026 23:28,19/08/2026 17:08,,גלגלי מגנזיום | חסכוני | בקרת שמירת מרחק
r1tqcvto,מאזדה 3,Active אוט׳ סדאן 4 דל 1.5 (120 כ״ס) [2014-2016],"48,900 ₪",2016,"94,000",2,אוטומט,"בנזין, 1496",בנזין,1496,אזור חולון ובת ים,סוכנות (unicar),,01/08/2026,75,notify,inspection: 'ללא תאונות' | first_or_second_hand: יד 2,,405,https://www.yad2.co.il/vehicles/item/r1tqcvto,כסוף מטאלי,סדאן,no,16/08/2026 23:28,19/08/2026 17:08,16/08/2026 23:40,חסכוני | מערכת מולטימדיה | ללא תאונות
b508nguo,יונדאי אלנטרה,Inspire אוט׳ 1.6 (132 כ״ס),"53,000 ₪",2016,"118,600",2,אוטומט,"בנזין, 1591",בנזין,1591,אזור רמת גן וגבעתיים,סוכנות (Brilliant motorclub),,01/06/2027,71,notify,condition: 'שמור' | first_or_second_hand: יד 2,,225,https://www.yad2.co.il/vehicles/item/b508nguo,אפור,סדאן,no,16/08/2026 23:27,19/08/2026 17:08,,סאן-רוף | בקרת שמירת מרחק | שמור ביותר
4rg1c8z2,הונדה ג'אז,Comfort אוט׳ 1.3 (102 כ״ס) [2015-2018],"54,000 ₪",2016,,2,אוטומט,"בנזין, 1318",בנזין,1318,אזור רמת גן וגבעתיים,סוכנות (Brilliant motorclub),,,65,notify,first_or_second_hand: יד 2,,220,https://www.yad2.co.il/vehicles/item/4rg1c8z2,,,no,16/08/2026 23:27,19/08/2026 17:08,,
wq78bpuh,הונדה סיוויק,Comfort אוט׳ האצ'בק 5 דל 1.8 (142 כ״ס),"45,900 ₪",2017,,2,אוטומט,"בנזין, 1798",בנזין,1798,אזור ראשון לציון והסביבה,"סוכנות (טויוטה ראשל""צ סלקט)",,,65,notify,first_or_second_hand: יד 2,,18,https://www.yad2.co.il/vehicles/item/wq78bpuh,,,no,16/08/2026 23:27,17/08/2026 09:39,,
gik4q50k,הונדה סיוויק,Comfort אוט׳ סדאן 4 דל 1.8 (142 כ״ס),"44,000 ₪",2016,,1,אוטומט,"בנזין, 1798",בנזין,1798,אזור חיפה והסביבה,סוכנות (N.Y cars),,,65,notify,first_or_second_hand: יד 1,,264,https://www.yad2.co.il/vehicles/item/gik4q50k,,,no,16/08/2026 23:27,19/08/2026 17:08,,
vohjdp4w,הונדה סיוויק,Comfort אוט׳ האצ'בק 5 דל 1.8 (142 כ״ס),"54,500 ₪",2017,,1,אוטומט,"בנזין, 1798",בנזין,1798,אזור חולון ובת ים,סוכנות (unicar),,,65,notify,first_or_second_hand: יד 1,,27,https://www.yad2.co.il/vehicles/item/vohjdp4w,,,no,16/08/2026 23:27,17/08/2026 09:39,,יד ראשונה | גלגלי מגנזיום | בקרת שמירת מרחק
xzwc48b6,הונדה סיוויק,Elegance אוט׳ 1.6 (125 כ״ס),"54,000 ₪",2018,,2,אוטומט,"בנזין, 1597",בנזין,1597,אזור חיפה והסביבה,פרטית,,,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,276,https://www.yad2.co.il/vehicles/item/xzwc48b6,,,no,16/08/2026 22:58,19/08/2026 17:08,,
mlqdgfwi,מאזדה 3,Spirit אוט׳ סדאן 4 דל 2.0 (165 כ״ס) [2014-2016],"53,000 ₪",2016,"80,000",1,אוטומט,"בנזין, 1998",בנזין,1998,אזור תל אביב יפו,פרטית,,01/05/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 1,,64,https://www.yad2.co.il/vehicles/item/mlqdgfwi,שחור,סדאן,no,16/08/2026 13:46,16/08/2026 19:39,,
